id,nome,detalhe,cor,codigo_fipe,marca_busca,modelo_busca,ano_modelo,ativo,specs
bicicleta,Bicicleta,2005,,,,,2005,1,
cachorro,Cachorro,2025,,,,,2025,1,
cachorro,,,,,,,,0,
bicicleta,,,,,,,,0,
bicibleta,bicibleta,2025 · 2025,2025,,,,2025,1,
fiatbravo,Fiat Bravo,2011 · Vermelho,Vermelho,001338-2,,,2011,1,
fiat,Fiat,2011,,001337-4,,,2011,1,
fiat,,,,,,,,0,
fiatbravoessence,Fiat Bravo essence,2011,,001337-4,,,2011,1,
fiatbravoessence2011,Fiat Bravo essence 2011,2011,,,,,2011,1,
peugeot3008,peugeot 3008,2020,,,,,2020,1,
bicibleta,,,,,,,,0,
fiatbravo,,,,,,,,0,
fiatbravoessence,,,,,,,,0,
fiatbravoessence2011,,,,,,,,0,
peugeot3008,,,,,,,,0,
peugeot3008,Peugeot 3008,2014,,,,,2014,1,
peugeot3008,,,,,,,,0,
