IP,Corretora Destino,Data,Moeda Origem,Moeda Destino,VET,Valor Total entrada,Valor Total saída
Remessa Online,IBKR,22/04/2024,BRL,USD,"5,33","R$ 5.977,27","$1.124,70"
Remessa Online,IBKR,19/08/2024,BRL,USD,"5,55","R$ 7.500,00","$1.350,62"
Remessa Online,IBKR,20/09/2024,BRL,USD,"5,54","R$ 1.335,00","$241,04"
Remessa Online,IBKR,21/01/2025,BRL,USD,"6,11","R$ 26.000,00","$4.255,27"
Remessa Online,IBKR,12/03/2025,BRL,USD,"5,88","R$ 8.000,00","$1.361,33"
Remessa Online,IBKR,03/04/2025,BRL,USD,"5,69","R$ 10.500,00","$1.845,86"
Remessa Online,IBKR,14/05/2025,BRL,USD,"5,68","R$ 9.400,00","$1.653,99"
Remessa Online,IBKR,23/06/2025,BRL,USD,"5,61","R$ 8.000,00","$1.426,58"
DolarApp,IBKR,27/12/2025,BRL,USD,"5,58","R$ 11.950,00","$2.142,92"
Binance,IBKR,28/01/2026,BRL,USD,"5,25","R$ 20.000,00","$3.808,85"
Binance,IBKR,27/02/2026,BRL,USD,"5,20","R$ 10.000,00","$1.924,29"
IBKR,IBKR,12/06/2025,USD,EUR,"0,87","$908,56","€790,08"
IBKR,IBKR,27/01/2025,USD,CAD,"1,45","$55,20","$80,00"
IBKR,IBKR,22/10/2024,USD,CAD,"1,39","$76,56","$105,77"
,IBKR,24/06/2026,USD,EUR,"1,14","$518,76","$457,00"
,IBKR,27/04/2026,USD,CAD,"0,73","$398,92","$545,38"
