chave,fitid,data,descricao,valor,tipo,parcela
6a761fee-a830-4a05-a6cd-b7476e379297:-11.12,6a761fee-a830-4a05-a6cd-b7476e379297,2026-08-08,Drogasil1042,"-11,12",DEBIT,
6a76467a-a152-48d9-ba99-45fc939dd9dd:-65.71,6a76467a-a152-48d9-ba99-45fc939dd9dd,2026-08-08,Drogasil1042,"-65,71",DEBIT,
6a773071-14ec-4000-b52f-2478f1dc5e70:-36.04,6a773071-14ec-4000-b52f-2478f1dc5e70,2026-08-08,Carrefour 358 Sbk,"-36,04",DEBIT,
6a7788f3-d1a3-4beb-9c00-5121e5f9db09:-5,6a7788f3-d1a3-4beb-9c00-5121e5f9db09,2026-08-08,Av Vicente Rao,-5,DEBIT,
6a7772c8-910d-466f-8061-ab52ce73657f:-80,6a7772c8-910d-466f-8061-ab52ce73657f,2026-08-08,Cucaesteticaerepa,-80,DEBIT,
6a775a1e-c9af-4ca8-a037-823e68277ea8:-49.9,6a775a1e-c9af-4ca8-a037-823e68277ea8,2026-08-08,Abbatepietro Tabac,"-49,9",DEBIT,
6a74e3a9-f05e-4556-b1b8-6dc6cbc5df34:-162,6a74e3a9-f05e-4556-b1b8-6dc6cbc5df34,2026-08-07,Mp *Bestpawsskinc,-162,DEBIT,
6a74ecbe-9f9f-499e-b24a-98b3ce5cb235:-6,6a74ecbe-9f9f-499e-b24a-98b3ce5cb235,2026-08-07,Vieverte,-6,DEBIT,
6a733e70-85b4-40ec-aac9-c4d9d71e0994:-37,6a733e70-85b4-40ec-aac9-c4d9d71e0994,2026-08-06,Mp *Bestpawsskinc,-37,DEBIT,
6a720b87-9c65-4ec0-bb8b-5b4b32f701df:-60.22,6a720b87-9c65-4ec0-bb8b-5b4b32f701df,2026-08-05,Restaurante Leggero,"-60,22",DEBIT,
6a7246d6-2923-4b9f-8a7c-d914087f548d:-38,6a7246d6-2923-4b9f-8a7c-d914087f548d,2026-08-05,Superia Park*Valeti,-38,DEBIT,
6a726026-b4fe-481b-b2c3-4040dea9b6bd:-150.81,6a726026-b4fe-481b-b2c3-4040dea9b6bd,2026-08-05,Auto Posto A B,"-150,81",DEBIT,
6a70fd35-c168-40d6-b211-fd0ccfad7009:-9.5,6a70fd35-c168-40d6-b211-fd0ccfad7009,2026-08-04,Vieverte,"-9,5",DEBIT,
6a70bdee-5a6d-4073-9e0f-bb0e30b10fb0:-8,6a70bdee-5a6d-4073-9e0f-bb0e30b10fb0,2026-08-04,Jose Carlos Xavier,-8,DEBIT,
6a70bc58-b8e3-42de-bdf3-0a1590c7be5d:-54.5,6a70bc58-b8e3-42de-bdf3-0a1590c7be5d,2026-08-04,Quintalizi,"-54,5",DEBIT,
6a70ee31-beda-4b41-ab51-5c96f69743f6:6588.39,6a70ee31-beda-4b41-ab51-5c96f69743f6,2026-08-03,Pagamento recebido,"6588,39",CREDIT,
6a68b91a-b57a-46c0-8c7e-3e72b04a8d27:269.89,6a68b91a-b57a-46c0-8c7e-3e72b04a8d27,2026-08-03,Estorno de compra (Hering),"269,89",CREDIT,
6a6fc485-e3c9-4c66-ab3d-258d37134a0b:-33.74,6a6fc485-e3c9-4c66-ab3d-258d37134a0b,2026-08-03,Ebn *Playstation - Parcela 1/4,"-33,74",DEBIT,1/4
6a6f5371-5ab1-4ca7-914f-cb716c065185:-17,6a6f5371-5ab1-4ca7-914f-cb716c065185,2026-08-03,Zigpay,-17,DEBIT,
6a6e369b-9726-4b8b-a521-fe5c988e9785:-19.94,6a6e369b-9726-4b8b-a521-fe5c988e9785,2026-08-02,IOF de compra internacional,"-19,94",DEBIT,
6a6e53f6-70cf-46b0-aeaa-8085409e53ab:-28.47,6a6e53f6-70cf-46b0-aeaa-8085409e53ab,2026-08-02,Carrefour 358 Sbk,"-28,47",DEBIT,
6a6d32ad-bb6c-4a84-8346-278c45ba5b33:-88.5,6a6d32ad-bb6c-4a84-8346-278c45ba5b33,2026-08-02,Ifd*Santa Barbara Come,"-88,5",DEBIT,
6a6e369b-9726-4b8b-a521-fe5c988e9785:-569.75,6a6e369b-9726-4b8b-a521-fe5c988e9785,2026-08-02,Anthropic* Claude Sub,"-569,75",DEBIT,
6a6dd811-9bf1-46b2-a12e-b03556e7e888:-122.53,6a6dd811-9bf1-46b2-a12e-b03556e7e888,2026-08-02,Auto Posto A B,"-122,53",DEBIT,
6a6d7559-4e32-41d5-8991-91167fdc06ab:-363.36,6a6d7559-4e32-41d5-8991-91167fdc06ab,2026-08-02,Petz Digital,"-363,36",DEBIT,
6a6e18a4-ac0c-4b24-9d7b-90a699b7a228:-326.7,6a6e18a4-ac0c-4b24-9d7b-90a699b7a228,2026-08-02,Cardeais,"-326,7",DEBIT,
6a6e1d48-edbc-408c-a608-a597a2d321b0:-44,6a6e1d48-edbc-408c-a608-a597a2d321b0,2026-08-02,Meninus Gelateria,-44,DEBIT,
6a6ddb2c-5b70-4fb8-893d-76d66b26e3e2:-7.81,6a6ddb2c-5b70-4fb8-893d-76d66b26e3e2,2026-08-02,Spazio Brooklin,"-7,81",DEBIT,
6a6e82ee-b7e7-4e5e-a430-c94bfbe21f6a:-70.05,6a6e82ee-b7e7-4e5e-a430-c94bfbe21f6a,2026-08-02,Mambo Brooklin,"-70,05",DEBIT,
6a6dd427-a4d3-4155-ac0f-7299426bb486:-292.6,6a6dd427-a4d3-4155-ac0f-7299426bb486,2026-08-02,Tokio Marine*Auto01d12,"-292,6",DEBIT,
6a6e246c-24f6-499f-b1a9-748eb433ccd9:-14.5,6a6e246c-24f6-499f-b1a9-748eb433ccd9,2026-08-01,NuTag*TMJ2A17,"-14,5",DEBIT,
6a6eb9ce-8130-448f-a492-44eb4b6d9943:19.94,6a6eb9ce-8130-448f-a492-44eb4b6d9943,2026-08-01,IOF de volta de Anthropic* Claude Sub,"19,94",CREDIT,
6a6e04f3-cfbd-4a95-b2af-cb7029a12040:-14.5,6a6e04f3-cfbd-4a95-b2af-cb7029a12040,2026-08-01,NuTag*TMJ2A17,"-14,5",DEBIT,
6a6caa3a-9bcb-4bb0-b97d-4d8fbd4f0651:-34.43,6a6caa3a-9bcb-4bb0-b97d-4d8fbd4f0651,2026-08-01,Carrefour 358 Sbk,"-34,43",DEBIT,
6a6d3030-b0ac-4d11-9c05-197e2c738010:-3.65,6a6d3030-b0ac-4d11-9c05-197e2c738010,2026-08-01,Rodoanel Pedagio,"-3,65",DEBIT,
6a6d04ff-4d37-46f0-bb8b-03d255e1298d:-50,6a6d04ff-4d37-46f0-bb8b-03d255e1298d,2026-08-01,Posto Bordo,-50,DEBIT,
6a6cc519-d209-48f2-8b24-e5215eb58f04:-20,6a6cc519-d209-48f2-8b24-e5215eb58f04,2026-08-01,Parkimetro Estac,-20,DEBIT,
6a6d2ed8-3568-4e3d-90bf-6fbcf542d525:-3.65,6a6d2ed8-3568-4e3d-90bf-6fbcf542d525,2026-08-01,Rodoanel Pedagio,"-3,65",DEBIT,
6a6d4402-6c03-435c-8ffd-476a3f45eb95:-50,6a6d4402-6c03-435c-8ffd-476a3f45eb95,2026-08-01,Classe A,-50,DEBIT,
6a6bea41-7cd1-434a-b47b-1fe2f1f4a21e:-56.97,6a6bea41-7cd1-434a-b47b-1fe2f1f4a21e,2026-08-01,Ifd*Fabrica da Esfiha,"-56,97",DEBIT,
6a6cbab6-fb99-4c5e-a567-7b742cf62b26:-250,6a6cbab6-fb99-4c5e-a567-7b742cf62b26,2026-08-01,Clinica Fares Santo Am,-250,DEBIT,
6a6ceca6-01ca-46fb-ba7f-b19badda2161:-33.93,6a6ceca6-01ca-46fb-ba7f-b19badda2161,2026-07-31,Uber - NuPay,"-33,93",DEBIT,
6a6b3d6f-3305-4ab6-b063-5557ee0fd584:-11.5,6a6b3d6f-3305-4ab6-b063-5557ee0fd584,2026-07-31,Cfc Comercio,"-11,5",DEBIT,
6a6a6d04-39bb-4d5d-bb87-bbe86007ae65:-79.08,6a6a6d04-39bb-4d5d-bb87-bbe86007ae65,2026-07-30,Carrefour 358 Sbk,"-79,08",DEBIT,
6a6a8818-6dba-4b01-8ff7-d0583131386a:-130,6a6a8818-6dba-4b01-8ff7-d0583131386a,2026-07-30,Barbearia Ferrero Cape,-130,DEBIT,
6a6aa1b8-6feb-46dc-9a29-ecc1ac081941:-158.13,6a6aa1b8-6feb-46dc-9a29-ecc1ac081941,2026-07-30,Petz Digital,"-158,13",DEBIT,
6a69076e-9b94-41ff-85b2-fb5b22c913ee:-53.9,6a69076e-9b94-41ff-85b2-fb5b22c913ee,2026-07-29,Google Youtubepremium,"-53,9",DEBIT,
6a66661b-9c63-41de-b778-05ceafe408d1:-24.99,6a66661b-9c63-41de-b778-05ceafe408d1,2026-07-29,Google One,"-24,99",DEBIT,
