etf,ticker,name,weight_pct,,updated_at
VWRA.L,AAPL,Apple Inc,4.2,curado,2026-08-30 13:53
VWRA.L,MSFT,Microsoft Corp,3.9,curado,2026-08-30 13:53
VWRA.L,NVDA,NVIDIA Corp,3.8,curado,2026-08-30 13:53
VWRA.L,AMZN,Amazon.com Inc,2.5,curado,2026-08-30 13:53
VWRA.L,META,Meta Platforms,2.3,curado,2026-08-30 13:53
VWRA.L,GOOGL,Alphabet Class A,2,curado,2026-08-30 13:53
VWRA.L,AVGO,Broadcom Inc,1.8,curado,2026-08-30 13:53
VWRA.L,TSLA,Tesla Inc,1.7,curado,2026-08-30 13:53
VWRA.L,GOOG,Alphabet Class C,1.5,curado,2026-08-30 13:53
VWRA.L,BRK-B,Berkshire Hathaway B,1.3,curado,2026-08-30 13:53
VWRA.L,JPM,JPMorgan Chase,1.2,curado,2026-08-30 13:53
VWRA.L,LLY,Eli Lilly,1,curado,2026-08-30 13:53
VWRA.L,V,Visa Inc,0.9,curado,2026-08-30 13:53
VWRA.L,XOM,Exxon Mobil,0.8,curado,2026-08-30 13:53
VWRA.L,JNJ,Johnson & Johnson,0.8,curado,2026-08-30 13:53
VWRA.L,UNH,UnitedHealth Group,0.8,curado,2026-08-30 13:53
VWRA.L,MA,Mastercard,0.8,curado,2026-08-30 13:53
VWRA.L,COST,Costco Wholesale,0.7,curado,2026-08-30 13:53
VWRA.L,HD,Home Depot,0.7,curado,2026-08-30 13:53
VWRA.L,ASML,ASML Holding,0.7,curado,2026-08-30 13:53
VWRA.L,PG,Procter & Gamble,0.7,curado,2026-08-30 13:53
VWRA.L,WMT,Walmart Inc,0.6,curado,2026-08-30 13:53
VWRA.L,BAC,Bank of America,0.6,curado,2026-08-30 13:53
VWRA.L,NFLX,Netflix Inc,0.6,curado,2026-08-30 13:53
VWRA.L,ABBV,AbbVie Inc,0.6,curado,2026-08-30 13:53
SPY,NVDA,NVIDIA CORP,7.68,alphavantage,2026-08-30 13:53
SPY,AAPL,APPLE INC,6.97,alphavantage,2026-08-30 13:53
SPY,MSFT,MICROSOFT CORP,5.58,alphavantage,2026-08-30 13:53
SPY,AMZN,AMAZON.COM INC,3.85,alphavantage,2026-08-30 13:53
