ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
SPY,2026-01-30,Dividendo,jan/26,2026,Dividendo,Ação Internacional,"3,99",USD
DPM,2026-01-15,IMPOSTO,jan/26,2026,IMPOSTO,Ação Internacional,"-0,18",CAD
DPM,2026-01-15,Dividendo,jan/26,2026,Dividendo,Ação Internacional,"0,72",CAD
TSM,2026-01-08,IMPOSTO,jan/26,2026,IMPOSTO,Ação Internacional,"-0,5",USD
TSM,2026-01-08,Dividendo,jan/26,2026,Dividendo,Ação Internacional,"2,39",USD
ITUB4.SA,2026-01-02,JUROS S/ CAPITAL,jan/26,2026,JUROS S/ CAPITAL,Ação,"2,9",BRL
QQQ,2025-12-31,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,24",USD
QQQ,2025-12-31,Dividendo,dez/25,2025,Dividendo,Ação Internacional,"0,79",USD
CMIG4.SA,2025-12-30,Dividendo,dez/25,2025,DIvidendo,Ação,"56,89",BRL
CMIG4.SA,2025-12-29,Dividendo,dez/25,2025,DIvidendo,Ação,"46,18",BRL
CMIG4.SA,2025-12-26,Dividendo,dez/25,2025,DIvidendo,Ação,"46,18",BRL
NVDA,2025-12-26,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,05",USD
NVDA,2025-12-26,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"0,17",USD
META,2025-12-23,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"1,05",USD
META,2025-12-23,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-0,32",USD
ITUB4.SA,2025-12-19,Dividendo,dez/25,2025,Dividendo,Ação,"261,55",BRL
KO,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-1,07",USD
KO,2025-12-15,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"3,57",USD
KO,2025-12-15,IMPOSTO,dez/25,2025,IMPOSTO,Ação Internacional,"-1,22",USD
KO,2025-12-15,DIvidendo,dez/25,2025,DIvidendo,Ação Internacional,"4,08",USD
GOOGL,2025-12-15,Dividendo,dez/25,2025,DIvidendo,Ação Internacional,"1,47",USD
