Data,Tipo de transação,Símbolo,Quantidade,Preço,Valor bruto,Taxa de corretagem,Valor líquido,Moeda,Corretora
2026-05-02,Compra,MSFT,2,"400,11",800.22,"0,35",800.57,USD,IBKR
2026-02-05,Compra,BTC-USD,"0,01","66951,03",699.51,0,"669,51",USD,Binance
2026-02-05,Compra,MSFT,"1,0","400,11","400,11","0,0","400,11",USD,IBKR
2026-01-29,Compra,MSFT,1,"448,7",448.7,"0,35",449.05,USD,IBKR
2026-01-29,Compra,SIVR,5,"113,09",565.45,"0,35",565.8,USD,IBKR
2026-01-29,Compra,MSFT,1,"433,52",433.52,"0,35",433.87,USD,IBKR
2026-01-29,Compra,DPM.TO,10,"54,24",402.08,"0,75",402.83,CAD,IBKR
2026-01-08,Compra,META,1,"643,68",643.68,"0,35",643.98,USD,IBKR
2025-12-30,Venda,MSFT,1,"487,28",487.28,"1,5",488.78,USD,XP
2025-12-29,Compra,KO,7,"70,23","491,68","0,35","492,03",USD,IBKR
2025-12-29,Compra,MSFT,1,"487,4",487.4,"0,35",487.76,USD,IBKR
2025-12-29,Compra,SPY,1,"687,25",687.25,"0,35",687.6,USD,IBKR
2025-12-29,Venda,KO,7,"70,24","491,68","1,5","493,18",USD,XP
2025-12-29,Venda,IVVB11.SA,15,"432,3","6484,5",0,"6484,5",BRL,XP
2025-12-19,Compra,KNCR11.SA,1,"106,4","106,4",0,"106,4",BRL,IBKR
2025-12-09,Compra,TTWO,2,"245,9","491,94","0,35","492,29",USD,IBKR
2025-12-06,Compra,ASML.AS,1,"680,5","788,36","1,72","790,08",EUR,IBKR
2025-11-24,Compra,KNCR11.SA,1,"106,03","106,03",0,"106,03",BRL,IBKR
2025-11-06,Compra,META,1,"694,3","694,3","0,35","694,65",USD,IBKR
2025-11-06,Compra,GOOGL,2,"177,3","354,7","0,35","355,05",USD,IBKR
2025-11-06,Venda,TSLA,2,"327,27","654,54","0,36","654,9",USD,IBKR
2025-11-03,Compra,VWRA.L,1,"136,6",136.62,"1,7","138,32",USD,IBKR
2025-10-21,Compra,KNCR11.SA,1,"105,39","105,39",0,"105,39",BRL,IBKR
2025-09-29,Compra,BTC-USD,"0,0086",113717,"766,36",0,"766,36",USD,Binance
2025-09-19,Compra,KNCR11.SA,1,"105,62","105,62",0,"105,62",BRL,IBKR
2025-09-05,Venda,ARGT,6,"89,6","538,14","0,36","537,78",USD,IBKR
2025-08-09,Venda,VALE3.SA,100,"56,36",5636,0,5636,BRL,IBKR
2025-07-04,Compra,VWRA.L,2,119,238.12,"1,91","240,03",USD,IBKR
2025-06-04,Compra,META,"1,0","681,43","681,43","0,35","681,79",USD,IBKR
2025-06-03,Compra,VWRA.L,3,"141,3",424.02,"1,7","425,72",USD,IBKR
2025-05-06,Compra,TSLA,1,"284,99","284,99","0,35","285,35",USD,IBKR
2025-05-03,Venda,AAXJ,7,"74,84","523,88","0,35","524,23",USD,IBKR
2025-04-22,Compra,MSFT,1,"400,1","400,1",0,"400,1",USD,IBKR
2025-04-17,Compra,NVDA,6,"100,7","604,35","0,35","604,7",USD,IBKR
2025-04-04,Compra,NVDA,5,102,510,"0,35","510,35",USD,IBKR
2025-04-03,Compra,VWRA.L,1,"139,5",139.54,"1,91","141,45",USD,IBKR
2025-03-26,Compra,IBKR,8,"44,81","358,48","0,34","358,82",USD,IBKR
2025-03-26,Compra,TSLA,1,"286,9","286,9","0,35","287,25",USD,IBKR
2025-03-26,Compra,TSM,3,"180,8","542,64","0,35","542,99",USD,IBKR
2025-03-26,Compra,VRSN,1,"245,8",245.81,"0,35","246,16",USD,IBKR
2025-03-26,Compra,IBKR,"2,0","179,05","358,1","0,34","358,44",USD,IBKR
2025-03-14,Venda,DXJ,5,"111,4",557,"0,36","557,36",USD,IBKR
2025-03-03,Compra,NVDA,3,119,"357,07","0,35","357,42",USD,IBKR
2025-03-03,Venda,IEUR,9,"60,99","548,91","0,35","549,26",USD,IBKR
2025-02-07,Compra,GOOGL,5,"178,5","892,75","0,35","893,1",USD,IBKR
2025-01-28,Compra,KO,8,"63,51","508,08","0,36","508,44",USD,IBKR
2025-01-28,Compra,NVDA,3,"121,8","365,58","0,36","365,94",USD,IBKR
2025-01-27,Compra,QQQ,1,511,511,"0,35","511,35",USD,IBKR
2025-01-27,Compra,ARGT,3,"84,3","254,49","0,35","254,84",USD,IBKR
2025-01-27,Compra,IAU,10,"51,93","519,3","0,36","519,66",USD,IBKR
2025-01-27,Compra,DXJ,5,"108,6",543,"0,35","543,35",USD,IBKR
2025-01-27,Compra,DPM.TO,8,"14,3","79,59","0,41",80,CAD,IBKR
2025-01-27,Compra,AAXJ,7,"71,69","501,83","0,36","502,19",USD,IBKR
2025-01-27,Compra,IEUR,9,"57,09","513,81","0,36","514,17",USD,IBKR
2025-01-27,Compra,VWRA.L,3,"141,7",425.22,"1,9","427,12",USD,IBKR
2025-01-25,Venda,TAEE11.SA,100,"32,82",3282,0,3282,BRL,IBKR
2025-01-23,Venda,HGCR11.SA,96,"88,48","8494,14",0,"8494,14",BRL,XP
2025-01-21,Venda,HGCR11.SA,4,"90,3","361,2",0,"361,2",BRL,XP
2024-10-22,Compra,SIVR,2,"33,09","66,19","0,35","66,54",USD,IBKR
2024-10-22,Compra,DPM.TO,10,"14,54","105,23","0,54","105,77",CAD,IBKR
2024-10-17,Venda,XPML11.SA,45,"106,1","4774,5",0,"4774,5",BRL,IBKR
2024-10-17,Venda,HGLG11,31,"156,8","4860,8",0,"4860,8",BRL,XP
2024-09-25,Compra,ARGT,1,"68,53","68,53","0,35","68,88",USD,IBKR
2024-08-22,Compra,VWRA.L,9,"135,5","1219,5","1,91","1221,41",USD,IBKR
2024-04-22,Compra,HGLG11,31,"163,81","5078,11",0,"5078,11",BRL,XP
2024-04-22,Compra,ITUB4.SA,144,"28,59","4025,6",0,"4002,6",BRL,XP
2024-04-22,Compra,KO,7,"60,42","422,44","1,5","424,44",USD,XP
2024-04-22,Compra,CMIG4.SA,390,"10,08",3930,0,3930,BRL,IBKR
2024-04-22,Compra,XPML11.SA,45,"115,3","5188,5",0,"5188,5",BRL,IBKR
2024-04-10,Compra,ARGT,1,"67,3","67,3",0,"67,3",USD,IBKR
2024-04-10,Compra,ARGT,1,"67,3","67,3","0,35","67,65",USD,IBKR
2023-06-19,Compra,VALE3.SA,100,"68,5","6857,66",0,"6857,66",BRL,IBKR
2023-05-19,Compra,HGCR11.SA,99,"103,65","1021,35",0,"1021,35",BRL,XP
2023-02-05,Compra,HGCR11.SA,1,"103,5","103,5",0,"103,5",BRL,XP
2023-01-25,Compra,TAEE11.SA,100,"36,34",3634,0,3634,BRL,IBKR
2023-01-02,Compra,KNCR11.SA,100,"92,92",9292,0,9292,BRL,IBKR
2022-04-01,Compra,IVVB11.SA,4,"297,99","1191,96",0,"1191,96",BRL,XP
2022-03-05,Compra,IVVB11.SA,10,"228,65","2286,5",0,"2286,5",BRL,XP
2021-12-30,Compra,IVVB11.SA,1,"297,4","297,4",0,"297,4",BRL,XP
