IP;Corretora Destino;Data;Moeda Origem;Moeda Destino;VET;Valor Total entrada;Valor Total saída
DolarApp;IBKR;27/12/2025;BRL;USD;5,58;11950;2142,92
Remessa Online;IBKR;23/06/2025;BRL;USD;5,61;8000;1426,58
Remessa Online;IBKR;14/05/2025;BRL;USD;5,68;9400;1653,99
Remessa Online;IBKR;03/04/2025;BRL;USD;5,69;10500;1845,86
Remessa Online;IBKR;12/03/2025;BRL;USD;5,88;8000;1361,33
Remessa Online;IBKR;21/01/2025;BRL;USD;6,11;26000;4255,27
Remessa Online;IBKR;20/09/2024;BRL;USD;5,54;1335;241,04
Remessa Online;IBKR;19/08/2024;BRL;USD;5,55;7500;1350,62
Remessa Online;IBKR;22/04/2024;BRL;USD;5,33;5977,27;1124,7
IBKR (Auto);IBKR;17/10/2025;USD;CAD;1,4027;0,7434;0,53
IBKR (Auto);IBKR;16/07/2025;USD;CAD;1,3687;0,7254;0,53
IBKR (Auto);IBKR;16/04/2025;USD;CAD;1,3862;0,7624;0,55
IBKR (Auto);IBKR;27/01/2025;USD;CAD;1,4376;0,5894;0,41
IBKR (Auto);IBKR;27/01/2025;USD;CAD;1,4376;114,4042;79,58
IBKR (Auto);IBKR;16/01/2025;USD;CAD;1,4399;0,432;0,3
IBKR (Auto);IBKR;22/10/2024;USD;CAD;1,3816;0,7461;0,54
IBKR (Auto);IBKR;22/10/2024;USD;CAD;1,3815;145,3891;105,24
IBKR (Auto);IBKR;06/11/2025;EUR;USD;1,1541;1,36;1,5696
IBKR (Auto);IBKR;06/08/2025;EUR;USD;1,1655;1,36;1,5851
IBKR (Auto);IBKR;12/06/2025;EUR;USD;1,1531;1,48;1,7066
IBKR (Auto);IBKR;27/05/2024;JPY;USD;157,005;1378,5039;8,78
XP;XP;29/12/2025;USD;BRL;0,16;982,15;6082,34
XP;XP;11/09/2025;USD;BRL;0,19;304,38;1606,58
XP;XP;24/04/2025;USD;BRL;0,18;17,04;96,81
XP;XP;24/04/2025;USD;BRL;0,18;17,04;96,81
IBKR (Auto);IBKR;12/06/2025;USD;EUR;1,1536;680;785,680.50
IBKR (Auto);IBKR;06/05/2024;USD;JPY;153,22;9;1378,98
