Data;Tipo de transação;Símbolo;Quantidade;Preço;Valor bruto;Taxa de corretagem;Valor líquido;Moeda;Corretora
27/01/2025;Compra;AAXJ;7;71.69;501.83;0.36;502.19;USD;IBKR
05/03/2025;Venda;AAXJ;7;74.84;523.88;0.35;524.23;USD;IBKR
25/09/2024;Compra;ARGT;1;68.53;68.53;0.35;68.88;USD;IBKR
04/10/2024;Compra;ARGT;1;67.3;67.3;0.35;67.65;USD;IBKR
04/10/2024;Compra;ARGT;1;67.3;67.3;0.0;67.3;USD;IBKR
27/01/2025;Compra;ARGT;3;84.3;254.49;0.35;254.84;USD;IBKR
09/05/2025;Venda;ARGT;6;89.6;538.14;0.36;537.78;USD;IBKR
12/06/2025;Compra;ASML.AS;1;680.5;788.36;1.72;790.08;EUR;IBKR
22/04/2024;Compra;CMIG4.SA;390;10.08;3930.0;0.0;3930.0;BRL;IBKR
22/10/2024;Compra;DPM.TO;10;14.54;105.23;0.54;105.77;CAD;IBKR
27/01/2025;Compra;DPM.TO;8;14.30;79.59;0.41;80.0;CAD;IBKR
27/01/2025;Compra;DXJ;5;108.6;543.0;0.35;543.35;USD;IBKR
14/03/2025;Venda;DXJ;5;111.4;557.0;0.36;557.36;USD;IBKR
11/06/2025;Compra;GOOGL;2;177.3;354.7;0.35;355.05;USD;IBKR
02/07/2025;Compra;GOOGL;5;178.5;892.75;0.35;893.1;USD;IBKR
19/05/2023;Compra;HGCR11.SA;100;103.5;10350.0;0.0;10350.0;BRL;IBKR
23/01/2025;Venda;HGCR11.SA;100;103.5;8830.33;0.0;8830.33;BRL;IBKR
27/01/2025;Compra;IAU;10;51.93;519.3;0.36;519.66;USD;IBKR
26/03/2025;Compra;IBKR;8;44.81;358.48;0.34;358.82;USD;IBKR
27/01/2025;Compra;IEUR;9;57.09;513.81;0.36;514.17;USD;IBKR
03/03/2025;Venda;IEUR;9;60.99;548.91;0.35;549.26;USD;IBKR
22/04/2024;Compra;ITUB4.SA;144;28.59;4025.6;0.0;4002.6;BRL;IBKR
04/01/2022;Compra;IVVB11.SA;15;250.71;3760.65;0.0;3760.65;BRL;IBKR
29/12/2025;Venda;IVVB11.SA;15;432.3;6484.5;0.0;6484.5;BRL;XP
01/02/2023;Compra;KNCR11.SA;100;92.92;9292.0;0.0;9292.0;BRL;IBKR
24/11/2025;Compra;KNCR11.SA;1;106.03;106.03;0.0;106.03;BRL;IBKR
21/10/2025;Compra;KNCR11.SA;1;105.39;105.39;0.0;105.39;BRL;IBKR
19/09/2025;Compra;KNCR11.SA;1;105.62;105.62;0.0;105.62;BRL;IBKR
19/12/2025;Compra;KNCR11.SA;1;106.4;106.4;0.0;106.4;BRL;IBKR
22/04/2024;Compra;KO;7;60.42;422.44;1.50;424.44;USD;XP
28/01/2025;Compra;KO;8;63.51;508.08;0.36;508.44;USD;IBKR
04/06/2025;Compra;META;1;681.4;681.43;0.35;681.79;USD;IBKR
11/06/2025;Compra;META;1;694.3;694.3;0.35;694.65;USD;IBKR
22/04/2025;Compra;MSFT;1;400.1;400.1;0.0;400.1;USD;IBKR
30/12/2025;Venda;MSFT;1;487.28;487.28;1.5;488.78;USD;XP
28/01/2025;Compra;NVDA;3;121.8;365.58;0.36;365.94;USD;IBKR
03/03/2025;Compra;NVDA;3;119.0;357.07;0.35;357.42;USD;IBKR
04/04/2025;Compra;NVDA;5;102.0;510.0;0.35;510.35;USD;IBKR
17/04/2025;Compra;NVDA;6;100.7;604.35;0.35;604.7;USD;IBKR
27/01/2025;Compra;QQQ;1;511.0;511.0;0.35;511.35;USD;IBKR
22/10/2024;Compra;SIVR;2;33.09;66.19;0.35;66.54;USD;IBKR
04/04/2025;Compra;SPY;2;504.5;1009.12;0.35;1009.47;USD;IBKR
29/12/2025;Compra;SPY;1;687.25;687.25;0.35;687.6;USD;IBKR
25/01/2023;Compra;TAEE11.SA;100;36.34;3634.0;0.0;3634.0;BRL;IBKR
25/01/2025;Venda;TAEE11.SA;100;32.82;3282.0;0.0;3282.0;BRL;IBKR
26/03/2025;Compra;TSLA;1;286.9;286.9;0.35;287.25;USD;IBKR
