data,,AAXJ,ACWI,ARGT,ASML.AS,BTC-USD,CMIG4,DPM.TO,DXJ,GOOGL,HGCR11.SA,HGLG11.SA,IAU,IBKR,IBM,IEUR,ITUB4.SA,IVVB11.SA,KNCR11.SA,KO,META,MSFT,NVDA,QQQ,SHV,SIVR,SPY,TAEE11.SA,TSLA,TSM,TTWO,VALE3.SA,VOW3.DE,VRSN,VWRA.L,XPML11.SA,^BVSP,^GSPC,^NDX,^SP500TR,^XNDX,BRL=X,CADBRL=X,EURBRL=X,GBPBRL=X,GC=F
2021-06-27,,,,,,"34649,64",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-06-28,,"95,13",,"31,53","586,4","34434,34","7,4142","7,42","61,44","122,536","99,3402","162,5249","33,88","16,3425",,"57,7","26,8756","229,7","88,8","54,26","355,64","268,72","19,985","353,71","110,49","25,2","427,47","37,83","229,5733","119,61","178,09","110,6","213,4","228,69","112,36","100,6404",127429,"4290,61",,"8927,4",,"4,9248","3,9917","5,8722","6,8259",
2021-06-29,,"95,03",,"31,21","589,9","35867,78","7,2604","7,35","61,35","122,2725","103,0842","166,944","33,53","16,5525",,"57,77","26,6108","229,7","90,16","53,86","351,89","271,4","20,0268","354,99","110,49","24,88","427,7","37,33","226,92","120,23","178,1","112,51","216,15","229,78","112,62","100,5516",127327,"4291,8",,"8930,67",,"4,9551","3,9956","5,895","6,8587",
2021-06-30,,"94,5",,"30,99","579,4","35040,84","7,1775","7,51","61,02","122,0895","103,813","165,5692","33,71","16,4325",,"57,28","26,3019","232,5",90,"54,11","347,71","270,9","20,0025","354,43","110,49","25,19","428,06","36,9","226,5667","120,16","177,02","113,25","211,2","227,69","112,2","101,8244",126802,"4297,5",,"8942,78",,"4,9692","4,0077","5,889","6,8634",
2021-07-01,,"93,84",,"30,71","571,3","33572,12","7,0355",,"61,26","122,4445","102,4352","165,5888","33,81","16,545",,"57,59","26,2048","236,2","88,63","53,96","354,39","271,6","20,212","354,57","110,49","25,1","430,43","36,65","225,9733","118,42","178,97","111,28",211,"229,19","112,44","100,7391",125666,"4319,94",,"8990,08",,"5,0451","4,0555","5,9764","6,9456",
2021-07-02,,"93,61",,"30,82",579,"33897,05","7,1657","7,54","61,28","125,2575","101,0974","166,7378","34,04","16,3875",,"57,76","26,4872","238,1","87,75","54,18","354,7","277,65","20,487","358,64","110,49","25,54","433,72","37,41","226,3","118,91","177,3","113,58","211,35","231,33","112,82","101,6369",127622,"4352,34",,"9058,66",,,,,,
2021-07-03,,,,,,"34668,55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-04,,,,,,"35287,78",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2021-07-05,,,,,"581,4",33746,"7,1538","7,5",,,"102,0658","166,7378",,,,,"26,1253","239,2","87,52",,,,,,,,,"37,62",,,,"113,17","211,2",,"113,17","101,7553",126920,,,,,"5,0885","4,123","6,0356","7,0423",
2021-07-06,,"92,26",,"30,58",580,"34235,2","7,0769","7,54","60,74","126,19","102,0658","166,7476","34,22","16,1275",,"57,41","26,0812","245,2","87,4","53,88","352,78","277,66","20,6985","360,19","110,48","25,23","432,93","37,35","219,86","120,05","174,07","113,77",203,"231,47","112,48","102,5447",125095,"4343,54",,"9040,76",,"5,1953","4,1691","6,1404","7,1714",
