Nome,Valor_Total,Parcelas,Data_Compra
Passagem formiga,202.03,6,09/01/2026
Roupas Maria,569.9,5,13/02/2026
Cadeiras,704.2,10,23/08/2025
Máquina de Lavar,3699,12,15/07/2025
Mobly,880.6,10,18/10/2025
MPBazar,382.14,6,27/10/2025
Amazon,329.94,6,04/03/2026
Osklen,598.2,5,05/03/2026
Drastosa,499.9,10,19/06/2025
Auto Escola,1500,10,12/07/2025
Amazon,226.59,6,10/10/2025
Suplemento Koda,278,3,06/01/2026
Presente Benício,459.99,4,29/12/2025
Pousada,3419.98,5,04/02/2026
Eletricista,251.91,4,10/12/2025
Bernudas,547.38,9,04/03/2026
Tênis,835,8,05/03/2026
Osklen,601.5,6,07/03/2026
Bolsa Maria,179.9,2,02/02/2026
Calvin Klaom,216.11,2,22/03/2026
Osklen,238.24,2,22/03/2026
Capinha,250,2,22/03/2026
Rip Culr,543.4,9,04/03/2026
aspirador,299,3,02/04/2026
Bermuda,119.9,2,05/04/2026
