mes,codigo,mes_ref,valor
2026-08,004473-3,agosto/2026,53411
2026-07,004473-3,julho/2026,52789
2026-06,004473-3,junho/2026,53463
2026-08,005508-5,agosto/2026,140879
2026-07,005508-5,julho/2026,141206
2026-06,005508-5,junho/2026,141665
2026-09,005508-5,setembro/2026,138532
2026-09,004473-3,setembro/2026,54429
2026-09,001338-2,setembro/2026,30429
2026-08,001338-2,agosto/2026,30582
2026-07,001338-2,julho/2026,30736
2026-09,001337-4,setembro/2026,29826
2026-08,001337-4,agosto/2026,29976
2026-07,001337-4,julho/2026,30127
2026-09,024175-0,setembro/2026,103771
2026-08,024175-0,agosto/2026,106836
2026-07,024175-0,julho/2026,106845
