ticker,data,decisao,mes,ano,lancamento,categoria,valor,moeda
ARGT,2025-01-07,IMPOSTO,jan/25,2025,IMPOSTO,Ação Internacional,"-0,86",USD
ARGT,2025-01-07,Dividendo,jan/25,2025,DIvidendo,Ação Internacional,"2,86",USD
ASML.AS,2026-05-05,Dividendo,mai/26,2026,Dividendo,Ação Internacional,"3,18",EUR
ASML.AS,2026-05-05,IMPOSTO,mai/26,2026,IMPOSTO,Ação Internacional,"-0,48",EUR
ASML.AS,2026-02-18,Dividendo,fev/26,2026,Dividendo,Ação Internacional,"1,88",EUR
ASML.AS,2026-02-18,IMPOSTO,fev/26,2026,IMPOSTO,Ação Internacional,"-0,28",EUR
ASML.AS,2025-11-06,IMPOSTO,nov/25,2025,IMPOSTO,Ação Internacional,"-0,24",EUR
ASML.AS,2025-11-06,Dividendo,nov/25,2025,DIvidendo,Ação Internacional,"1,6",EUR
ASML.AS,2025-08-06,Dividendo,ago/25,2025,DIvidendo,Ação Internacional,"1,6",EUR
ASML.AS,2025-08-06,IMPOSTO,ago/25,2025,IMPOSTO,Ação Internacional,"-0,24",EUR
CMIG4.SA,2025-12-30,Dividendo,dez/25,2025,Dividendo,Ação Nacional,"128,46",BRL
CMIG4.SA,2025-12-30,JCP,dez/25,2025,JCP,Ação Nacional,"32,46",BRL
CMIG4.SA,2025-12-30,JCP,dez/25,2025,JCP,Ação Nacional,"27,38",BRL
CMIG4.SA,2025-12-30,JCP,dez/25,2025,JCP,Ação Nacional,"24,9",BRL
CMIG4.SA,2025-12-30,Dividendo,dez/25,2025,DIvidendo,Ação,"56,89",BRL
CMIG4.SA,2025-12-29,Dividendo,dez/25,2025,DIvidendo,Ação,"46,18",BRL
CMIG4.SA,2025-12-26,Dividendo,dez/25,2025,DIvidendo,Ação,"46,18",BRL
CMIG4.SA,2025-09-30,Dividendo,set/25,2025,DIvidendo,Ação,"82,44",BRL
CMIG4.SA,2025-06-24,Dividendo,jun/25,2025,DIvidendo,Ação,"81,36",BRL
CMIG4.SA,2025-05-02,Dividendo,mai/25,2025,DIvidendo,Ação,"256,94",BRL
CMIG4.SA,2025-03-26,Dividendo,mar/25,2025,DIvidendo,Fii,"73,76",BRL
CMIG4.SA,2024-12-27,Dividendo,dez/24,2024,Dividendo,Ação Nacional,"36,34",BRL
CMIG4.SA,2024-12-26,Dividendo,dez/24,2024,DIvidendo,Ação,"76,37",BRL
CMIG4.SA,2024-09-24,Dividendo,set/24,2024,DIvidendo,Ação,"64,43",BRL
CMIG4.SA,2024-08-30,Dividendo,ago/24,2024,DIvidendo,Ação,"193,58",BRL
CMIG4.SA,2024-06-28,Dividendo,jun/24,2024,Dividendo,Ação Nacional,"36,34",BRL
CMIG4.SA,2024-06-24,Dividendo,jun/24,2024,DIvidendo,Ação,"58,58",BRL
CMIG4.SA,2024-04-30,Dividendo,abr/24,2024,DIvidendo,Ação,"94,48",BRL
ASML.AS,45875,IMPOSTO,46259,2025,IMPOSTO,Ação Internacional,"0,24",EUR
ASML.AS,45967,IMPOSTO,46351,2025,IMPOSTO,Ação Internacional,"0,24",EUR
ASML.AS,46072,IMPOSTO,46079,2026,IMPOSTO,Ação Internacional,"0,24",EUR
ASML.AS,46148,IMPOSTO,46168,2026,IMPOSTO,Ação Internacional,"0,41",EUR
ASML.AS,45875,Dividendo,46259,2025,Dividendo,Ação Internacional,"1,6",EUR
ASML.AS,45967,Dividendo,46351,2025,Dividendo,Ação Internacional,"1,6",EUR
ASML.AS,46072,Dividendo,46079,2026,Dividendo,Ação Internacional,"1,6",EUR
ASML.AS,46148,Dividendo,46168,2026,Dividendo,Ação Internacional,"2,71",EUR
DPM.TO,2026-04-15,IMPOSTO,abr/26,2026,IMPOSTO,Ação Internacional,"-0,39",CAD
