pais,emissor,denominacao,assunto,krause,ano,marca,graduacao,valor_brl,composicao,peso_metal_g,derretimento_brl,foto_anverso,foto_reverso,nota,serie
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Boxe",KM# 724,2016,Sem marca da casa da moeda,AU,6.8,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006180-316952108931.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006178-645252851330.webp,,Minhas Moedas
Brasil,Brasil,1 real,XXXI Jogos Olímpicos de Verão - Rio de Janeiro 2016 - Voleibol,KM# 709,2015,Sem marca da casa da moeda,AU,7.05,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006157-503532251727.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006156-014398986526.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Futebol",KM# 708,2015,Sem marca da casa da moeda,AU,6.03,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006136-72407331123.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006135-21846672622.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Mascote olímpico Vinícius",KM# 726,2016,Sem marca da casa da moeda,AU,7.05,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006116-421068143819.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006114-9725351523218.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Rúgbi",KM# 707,2015,Sem marca da casa da moeda,AU,7.67,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006086-09143704215.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006084-817064553314.webp,,Minhas Moedas
Brasil,Brasil,50 centavos,Séries comuns,KM# 651a,2007,Sem marca da casa da moeda,AU,1.99,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006065-4115791805511.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006063-862379423510.webp,,Minhas Moedas
Brasil,Brasil,10 centavos,Séries comuns,KM# 633,1994,Sem marca da casa da moeda,AU,1.28,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784006042-10809750877.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784006040-81070966546.webp,,Minhas Moedas
Brasil,Brasil,10 centavos,50º Aniversário da FAO - Alimentos para o Mundo,KM# 641,1995,Sem marca da casa da moeda,AU,134.58,Aço inoxidável,,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005993-883299822323.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005991-86229622962.webp,,Minhas Moedas
Brasil,Brasil,1 real,Séries comuns,KM# 652,1998,Sem marca da casa da moeda,AU,6.24,"Bimetálica: centro de Cupro-Níquel, anel de Latão",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005853-9286799763123.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005852-1498383914122.webp,,Minhas Moedas
Brasil,Brasil,1 real,"XXXI Jogos Olímpicos de Verão, Rio de Janeiro 2016 - Judô",KM# 711,2015,Sem marca da casa da moeda,AU,7.46,"Bimetálica: centro de Aço inoxidável, anel de Aço com revestimento de Bronze",,,https://static.coinidentifierai.com/app/prod/recognize/subject_side/514027894/1784005802-2264598388119.webp,https://static.coinidentifierai.com/app/prod/recognize/denomination_side/514027894/1784005800-69220113716118.webp,,Minhas Moedas
