chave,type_id,titulo,url,confianca,faixa_anos,ano_suspeito,atualizado_em
aruba|5 centimos|1998|km# 1,5589,5 Cents,https://pt.numista.com/5589,km,1986–2026,0,2026-08-15T00:51:01.110Z
russia|50 kopeks|2013|,,,,nenhuma,,0,2026-08-15T00:51:01.149Z
eua|1 dime|1968|,,,,nenhuma,,0,2026-08-15T00:51:01.257Z
ucrania|10 kopiyok|2016|,68709,"10 Kopiiok (with mintmark, magnetic)",https://pt.numista.com/68709,pais-ano,2014–2022,0,2026-08-15T00:51:01.330Z
eua|1 dime|2007|,,,,nenhuma,,0,2026-08-15T00:51:01.441Z
hong kong|10 centimos|1997|km# 66,1579,10 Cents,https://pt.numista.com/1579,km,1993–2017,0,2026-08-15T00:51:01.656Z
argentina|5 centavos|1993|,3246,5 Centavos (reeded edge),https://pt.numista.com/3246,pais-ano,1992–2005,0,2026-08-15T00:51:01.886Z
alemanha|20 centimos de euro|2010|km# 255,6319,20 Euro Cents (2nd map),https://pt.numista.com/6319,km,2007–2026,0,2026-08-15T00:51:01.959Z
antilhas neerlandesas|10 centimos|1998|km# 34,,,,nenhuma,,0,2026-08-15T00:51:04.062Z
turquia|5 kurus|2015|km# 1240,7047,5 Kuruş,https://pt.numista.com/7047,km,2009–2022,0,2026-08-15T00:51:04.239Z
albania|5 leke|1995|km# 76,2691,5 Lekë (Magnetic),https://pt.numista.com/2691,km,1995–2023,0,2026-08-15T00:51:04.384Z
paraguai|5 guaranis|1975|km# 152,5154,5 Guaraníes,https://pt.numista.com/5154,km,1975,0,2026-08-15T00:51:04.525Z
antilhas neerlandesas|25 centimos|1991|km# 35,,,,nenhuma,,0,2026-08-15T00:51:04.630Z
colombia|100 pesos|2016|km# 296,34772,100 Pesos,https://pt.numista.com/34772,km,2012–2026,0,2026-08-15T00:51:04.839Z
eua|¼ dolar|1989|,,,,nenhuma,,0,2026-08-15T00:51:04.917Z
brasil|1 cruzeiro|1958|km# 570,8195,1 Cruzeiro,https://pt.numista.com/8195,km,1957–1961,0,2026-08-15T00:51:05.061Z
argentina|10 centavos|1993|km# 107,2214,10 Centavos (reeded edge; non-magnetic),https://pt.numista.com/2214,km,1992–2006,0,2026-08-15T00:51:06.687Z
argentina|10 centavos|2010|km# 107a,21115,10 Centavos (smooth edge; magnetic),https://pt.numista.com/21115,km,2006–2011,0,2026-08-15T00:51:06.817Z
