Compra,Ticker,Valor,Tipo,Moeda,Corretora
2025-01-30,CDB BANCO MASTER DE INVESTIME - ABR/2030 ,"9085,14",Compra,BRL,Xp
2023-04-08,CDB BCO Master pos ,6000,Compra,BRL,Xp
2023-06-27,CDB BCO Master Pré,4000,Compra,BRL,Xp
2023-06-26,CDB BMG ,"5000,09",Compra,BRL,Xp
2024-06-12,CDB BMG ,"5943,28",Venda,BRL,Xp
2024-06-12,CDB BMG ,"165,06",Imposto,BRL,Xp
2022-07-27,CDB FLU CDB3228OGKH,5000,Compra,BRL,Xp
2023-07-27,CDB FLU CDB3228OGKH,"5766,44",Venda,BRL,Xp
2022-02-22,CDB FLU CDB421DQMFP,"109,11",Imposto,BRL,Xp
2021-11-24,CDB FLU CDB421DQMFP,7000,Compra,BRL,Xp
2022-02-22,CDB FLU CDB421DQMFP,"7484,94",Venda,BRL,Xp
2022-02-22,CDB FLU CDB421DQMFP,"109,11",Imposto,BRL,Xp
2023-11-04,CDB PAGBANK - ABR/2024,"6989,97",Compra,BRL,Xp
2024-04-04,CDB PAGBANK - ABR/2024,"7956,54",Venda,BRL,Xp
2024-04-04,CDB PAGBANK - ABR/2024,"193,31",Imposto,BRL,Xp
2022-05-04,CDB PRE DU CDB122MLPDS,"2002,18",Compra,BRL,Xp
2023-03-31,CDB PRE DU CDB122MLPDS,2273,Venda,BRL,Xp
2023-03-31,CDB PRE DU CDB122MLPDS,"54,16",Imposto,BRL,Xp
2022-06-23,CDB PRE DU CDB222NQSUR,"2992,45",Compra,BRL,Xp
2023-06-14,CDB PRE DU CDB222NQSUR,"3420,31",Venda,BRL,Xp
2024-04-22,NTN-B,"8753,53",Compra,BRL,Xp
2023-06-14,CDB PRE DU CDB222NQSUR,"85,57",Imposto,BRL,Xp
2022-08-02,Tesouro Prefixado 2024,"4992,38",Compra,BRL,Xp
2024-01-07,Tesouro Prefixado 2024,"214,14",Imposto,BRL,Xp
2024-01-07,Tesouro Prefixado 2024,6420,Venda,BRL,Xp
2022-11-02,Tesouro Selic 2024,"340,03",Compra,BRL,Xp
2024-02-09,Tesouro Selic 2024,"458,64",Venda,BRL,Xp
2024-02-09,Tesouro Selic 2024,"17,79",Imposto,BRL,Xp
2026-01-22,CDB BANCO MASTER DE INVESTIME - ABR/2030 ,11076,Venda,BRL,Xp
2026-01-22,CDB BCO Master pos ,7889,Venda,BRL,Xp
2026-01-22,CDB BCO Master Pré,5381,Venda,BRL,Xp
2026-01-22,CDB BANCO MASTER DE INVESTIME - ABR/2030 ,0,Imposto,BRL,Xp
2026-01-22,CDB BCO Master pos ,0,Imposto,BRL,Xp
2026-01-22,CDB BCO Master Pré,0,Imposto,BRL,Xp
30/08/2026,Caixa,32430,Compra,BRL,Nubank
30/08/2026,Caixa,3340,Comprs,USD,IBKR
